City,PG Name,Nearby College,Address,Rent (INR/Month),Room Type,Amenities,Distance to College (km),Rating,Reviews,Contact,Nearby Companies,Nearby Locations,PG Type,Vacancy Status,Meals Included,Meal Charges,Electricity Charges,Room Size (sq.ft),Public Transport Access,Gym,Wi-Fi Speed,Payment Frequency,Advance Payment Required,Security Features,Social Events
Salem,Johnson PLC,Dr. G.R. Damodaran College of Science,"407 Carl Overpass
New Matthew, MA 74445",6437,Shared,"AC, Laundry, Parking",1.8685828356185414,4.5601395562470675,While best executive since modern.,270-801-1910x7480,"Ward, Brown and Liu",Lake Juanmouth,Male-only,Available,No,0,Not Included,142,5 min walk to bus stop,No,Unlimited,Quarterly,No,Security Guard,Yes
Vellore,Lopez-Gill,Vellore Institute of Technology University,"9822 Robert Expressway Apt. 739
Zacharyhaven, RI 92826",12238,Shared,"Wi-Fi, AC, Laundry, Kitchen",4.55033482970377,3.7844186634428745,Ok involve full current sea manager child great.,992-493-5327,Townsend-Jones,Lake Michaelview,Female-only,Not Available,No,0,Not Included,184,5 min walk to bus stop,Yes,50 Mbps,Monthly,Yes,Security Guard,Yes
Tiruchirappalli,King and Sons,National Institute of Technology Tiruchirappalli,"32253 Patrick Summit
West Holly, OK 60027",11304,Single,"AC, Laundry, Parking",4.450233658800203,3.120914378005807,Phone indeed which.,725-685-8716x917,Whitney-Bell,East Ashley,Female-only,Not Available,Yes,2674,Included,124,Near metro station,Yes,Unlimited,Quarterly,Yes,Security Guard,No
Chennai,Davenport LLC,University of Madras,"2697 Clark Parkways Apt. 817
West Ellen, VA 19392",9040,Shared,"Wi-Fi, Laundry",3.8451109417565146,4.952375643130919,Change camera true public center third budget.,299-866-8629x891,Stephens-Martinez,Bensonport,Co-ed,Available,No,0,Included,129,Near metro station,No,Unlimited,Quarterly,Yes,CCTV,Yes
Chennai,Orr-Cross,University of Madras,"981 Lyons Mission Apt. 527
Joeland, ID 37443",12606,Single,"Wi-Fi, AC, Laundry, Kitchen",3.823665539613778,4.067868765715154,Ever growth how develop bank quality.,831-534-7747,Novak-Hernandez,North Katherine,Co-ed,Not Available,Yes,1079,Not Included,190,5 min walk to bus stop,Yes,Unlimited,Monthly,No,CCTV,Yes
Salem,Arnold Group,Periyar University,"99074 Garrett Lake Suite 058
South Cynthiatown, KS 26970",8456,Single,"Wi-Fi, AC, Laundry, Kitchen",4.230659751389423,3.642145946016364,Explain even by those cold couple.,+1-918-980-2277,"Lawrence, Olson and Duarte",Johnsonfort,Male-only,Available,No,0,Included,135,Near local train,Yes,100 Mbps,Monthly,No,Security Guard,No
Erode,"Gonzalez, Alvarez and Hull",Erode Arts and Science College,"159 Kristin Crossroad
Laurafurt, IL 44659",14662,Single,"Wi-Fi, AC, Laundry, Kitchen",3.0019715388462056,4.204773958160327,Student service research enough put.,1463773724,English-Clark,Laurastad,Male-only,Available,No,0,Not Included,158,Near metro station,No,50 Mbps,Monthly,Yes,Security Guard,Yes
Vellore,Taylor Inc,Vellore Institute of Technology University,"978 Kelsey Corners Suite 455
Gillespiebury, RI 45390",9397,Shared,"AC, Laundry, Parking",4.737990987808352,3.1481719472976684,Let worry on ask.,733-867-2891x13969,"Goodman, Thomas and Cervantes",New Latashaport,Male-only,Available,Yes,1173,Included,153,5 min walk to bus stop,No,Unlimited,Monthly,No,Security Guard,Yes
Tiruchirappalli,Chen Ltd,National Institute of Technology Tiruchirappalli,"44904 Lee Trafficway Suite 455
Port Amandastad, MI 80513",11440,Single,"AC, Laundry, Parking",2.000257769295436,3.266536360651581,To religious argue word better two better.,001-957-688-2019x121,Bowers-Moore,Lake Julianfort,Male-only,Available,Yes,2878,Included,189,Near local train,Yes,50 Mbps,Monthly,Yes,CCTV,Yes
Chennai,"Wiley, Barker and Levy",Anna University,"43515 Miller View
New Don, MT 23523",8907,Single,"Wi-Fi, Laundry",3.8734922630870323,4.556046065989552,Every whose relationship less.,7271768038,Hudson Group,Brianshire,Male-only,Not Available,Yes,2674,Included,139,Near metro station,No,50 Mbps,Quarterly,No,Security Guard,No
Chennai,Mathews and Sons,VIT University,"67556 Keith Manor
New Cherylshire, MN 18757",10146,Shared,"Wi-Fi, Laundry",2.6751778332688487,4.501230896342563,Simply car office member will machine find.,(675)814-5564,Murphy-White,Lake Sethmouth,Female-only,Available,Yes,2059,Included,131,5 min walk to bus stop,No,100 Mbps,Quarterly,No,CCTV,Yes
Vellore,Howard and Sons,Vellore Institute of Technology University,"89373 Brian Isle Apt. 008
West Christopher, NE 51852",8339,Double,"Wi-Fi, AC, Laundry, Kitchen",2.4496072817683427,4.543469899456923,Raise buy something particular effect move account.,+1-632-947-7699x28959,"Wallace, Meza and Gallagher",Port Jeffshire,Male-only,Not Available,Yes,1087,Not Included,184,5 min walk to bus stop,Yes,50 Mbps,Monthly,Yes,Security Guard,Yes
Salem,"Peterson, Gonzalez and Hunter",Periyar University,"366 Philip Falls Suite 392
Moraleshaven, MD 31933",14160,Single,"AC, Laundry, Parking",2.9412367128584385,4.078899610527364,Lay Congress car to contain.,919-797-7536x2964,Ochoa LLC,East Angela,Female-only,Available,Yes,2327,Not Included,107,5 min walk to bus stop,Yes,Unlimited,Monthly,No,"CCTV, Guard at Night",No
Erode,Orr Ltd,The Gandhigram Rural Institute,"861 Kenneth Pine
Whiteside, TX 03033",7446,Shared,"AC, Laundry, Parking",1.6480608266025767,3.4719613620230425,Oil democratic official establish same hand office.,(970)371-7824,Gilbert PLC,Lake Christinaview,Male-only,Available,Yes,2128,Included,187,Near local train,No,Unlimited,Monthly,Yes,Security Guard,No
Erode,"Lewis, Watkins and Brown",The Gandhigram Rural Institute,"02627 Ryan Squares Apt. 023
South Anthony, MS 65019",5619,Single,"Wi-Fi, Laundry",3.1223598875158918,3.8045188130188894,Card even throw responsibility attack.,(552)907-5704x56618,Wilson Inc,East Barbarachester,Male-only,Available,No,0,Included,179,Near metro station,Yes,100 Mbps,Monthly,Yes,"CCTV, Guard at Night",Yes
Madurai,"Hill, Bradley and Cox",VIT Madurai,"376 Laura Mews Suite 643
Katherineport, TN 03191",10924,Double,"Wi-Fi, AC, Laundry, Kitchen",4.540191412149695,4.2248959416330045,Born the very call office.,001-318-474-7128x92154,Hernandez-Reed,Port Brianview,Male-only,Not Available,No,0,Included,128,Near metro station,No,Unlimited,Monthly,Yes,"CCTV, Guard at Night",Yes
Vellore,"Lara, Robertson and Acevedo",Vellore Institute of Technology University,"4900 Williams Wall Apt. 524
Davidstad, CT 62607",13590,Double,"Wi-Fi, AC, Laundry, Kitchen",1.3712688265250228,4.5502066541506725,Movie never laugh ten north.,967.141.8237x09218,French-Bailey,Roachview,Co-ed,Available,Yes,2502,Not Included,115,Near local train,No,100 Mbps,Monthly,Yes,CCTV,Yes
Coimbatore,Herring LLC,Coimbatore Institute of Technology,"3260 Moore Alley
Sheatown, TX 68215",11395,Single,"AC, Laundry, Parking",1.3394626411997037,3.4973130135129704,Performance challenge morning record.,(586)924-5050x91754,Bailey-Kennedy,North Tracy,Male-only,Available,Yes,2822,Included,145,Near local train,No,50 Mbps,Quarterly,Yes,Security Guard,No
Erode,Jones Group,The Gandhigram Rural Institute,"991 Donald Pine
Meghanmouth, DC 58832",14713,Shared,"AC, Laundry, Parking",4.161214291957977,3.4096076455377937,Name politics large bill her prevent.,460.209.5404x902,Hayes PLC,North Alan,Male-only,Available,No,0,Not Included,181,Near metro station,No,Unlimited,Monthly,Yes,Security Guard,Yes
Tiruchirappalli,"Willis, Simmons and Campbell",Anna University Tiruchirappalli,"631 Stacey Trace Apt. 860
South Julie, WV 07305",5757,Shared,"Wi-Fi, AC, Laundry, Kitchen",3.8006779589125794,3.2514414025633496,Seven clearly exist rise you apply start.,887.041.0841,"Meyer, Little and Reed",Andersontown,Female-only,Available,Yes,1614,Not Included,121,5 min walk to bus stop,Yes,50 Mbps,Quarterly,Yes,"CCTV, Guard at Night",Yes
Tiruchirappalli,Andrews PLC,Bharathidasan University,"788 Maria Station
South Nicole, AK 99484",11857,Double,"AC, Laundry, Parking",3.719829684950013,3.619472101526897,Candidate base investment could area specific.,447.365.1484,"Hansen, Odom and Serrano",Lake Jeffrey,Female-only,Not Available,Yes,1506,Included,180,Near local train,No,100 Mbps,Monthly,No,Security Guard,No
Tiruchirappalli,Perez-Cruz,Bharathidasan University,"USNV Smith
FPO AE 91164",10932,Single,"Wi-Fi, Laundry",2.338681989402229,4.3601094141011565,Their woman natural someone.,+1-754-141-5724,Ramos Group,Amyport,Co-ed,Available,No,0,Included,161,Near local train,Yes,50 Mbps,Monthly,No,CCTV,No
Coimbatore,Rodriguez Ltd,PSG College of Technology,"774 Holly Cliffs Apt. 809
Annachester, KS 30801",9385,Double,"Wi-Fi, Laundry",2.145009792219378,3.138980012685834,Between up establish social.,029.080.8858x4108,Cabrera-Stevens,North Judymouth,Female-only,Not Available,Yes,1601,Not Included,101,Near local train,No,50 Mbps,Monthly,Yes,Security Guard,Yes
Vellore,Larsen LLC,Vellore Institute of Technology University,"82157 Meagan Keys
Lake Raven, IL 86448",11970,Shared,"Wi-Fi, AC, Laundry, Kitchen",4.369743654698841,3.401168649904638,Improve course book central hear city several language.,001-289-871-7969x78720,"Jackson, Harrison and Burns",Johnsonview,Male-only,Available,Yes,1790,Included,180,Near local train,No,50 Mbps,Monthly,Yes,Security Guard,Yes
Coimbatore,"Lopez, Conrad and Shah",Tamil Nadu Agricultural University,"41590 Ramos Bridge Apt. 603
Ashleyside, WI 81032",12509,Double,"AC, Laundry, Parking",2.696974787532704,4.552082313528588,Whom field reveal process letter wish drop suffer.,493.324.2470,Garcia Ltd,Brianfurt,Female-only,Available,Yes,2334,Not Included,185,5 min walk to bus stop,No,100 Mbps,Quarterly,No,Security Guard,No
Vellore,Lewis PLC,Vellore Institute of Technology University,"0586 Kirk Mills
Lake Felicia, MT 07240",12311,Single,"Wi-Fi, AC, Laundry, Kitchen",4.987524037763514,3.1598582117426153,Ready marriage however month.,001-637-021-3771x92208,"Hernandez, Morris and Hernandez",Gayfurt,Co-ed,Not Available,No,0,Not Included,140,Near metro station,Yes,Unlimited,Monthly,Yes,CCTV,Yes
Salem,Ray-Lawrence,Government College of Engineering Salem,"8680 Connie Park
Erikport, CO 19783",9712,Double,"Wi-Fi, AC, Laundry, Kitchen",2.744761078087332,4.175592229621932,With order situation drug television.,625-006-3335,Gray Group,Whitestad,Co-ed,Available,No,0,Not Included,153,5 min walk to bus stop,No,100 Mbps,Quarterly,No,"CCTV, Guard at Night",Yes
Coimbatore,Burns Inc,Tamil Nadu Agricultural University,"Unit 4227 Box 5680
DPO AP 51275",13610,Shared,"AC, Laundry, Parking",2.7373555549039765,4.360626430893291,Society with east article never international.,049-451-2805x41339,Hernandez Group,Masonview,Female-only,Not Available,No,0,Not Included,177,5 min walk to bus stop,Yes,100 Mbps,Monthly,No,Security Guard,No
Erode,"Long, Harper and Morgan",The Gandhigram Rural Institute,"1418 Katherine Ville
Martinchester, IL 69007",11151,Shared,"Wi-Fi, Laundry",4.950076327139728,3.6076212453157974,Wrong feeling reason style.,001-173-997-7811,"Ware, Obrien and Sullivan",Port Danielfort,Female-only,Available,No,0,Not Included,129,Near local train,No,Unlimited,Monthly,No,Security Guard,No
Madurai,Mcbride Group,Madurai Kamaraj University,"70396 Marc Rapid
Waynemouth, MS 04325",10666,Shared,"Wi-Fi, Laundry",4.708136960725758,4.102068686167149,Debate series later information rock performance.,738.872.1550,Bishop and Sons,Port Mary,Male-only,Available,Yes,2973,Not Included,151,Near local train,No,Unlimited,Monthly,No,"CCTV, Guard at Night",Yes
Madurai,Rivers Inc,Tamil Nadu Medical University,"076 Cook Glen Apt. 546
Collinston, AZ 46432",14557,Single,"Wi-Fi, AC, Laundry, Kitchen",3.447044883369857,4.92482541386759,Ability one continue pretty stop kid first.,(336)653-8602x98544,"Turner, Gomez and Clay",Floydborough,Male-only,Not Available,Yes,2635,Not Included,186,5 min walk to bus stop,Yes,50 Mbps,Monthly,Yes,Security Guard,No
Tiruchirappalli,"Myers, Smith and Jones",Bharathidasan University,"64706 Heidi Ford Apt. 898
Jennifershire, TX 88154",7253,Double,"Wi-Fi, Laundry",4.020327484283879,3.191872675454815,Media bit involve listen police call world.,907.848.8408,Gonzalez Inc,Port Kristin,Co-ed,Available,Yes,2653,Not Included,105,Near local train,No,50 Mbps,Quarterly,No,"CCTV, Guard at Night",No
Coimbatore,Warren-Smith,PSG College of Technology,"99470 Larry Views Suite 778
Timothyville, VA 67818",11950,Shared,"AC, Laundry, Parking",3.059978949326825,3.4811219374747466,Property find relate option capital.,223-122-7230x39329,"Jordan, French and Rose",Milesberg,Female-only,Available,No,0,Not Included,191,Near metro station,Yes,100 Mbps,Quarterly,No,"CCTV, Guard at Night",Yes
Coimbatore,"Ramos, Williams and Mcdonald",Coimbatore Institute of Technology,"793 Joseph Village
Lake Michaelhaven, NJ 56494",7372,Single,"Wi-Fi, AC, Laundry, Kitchen",2.1209404921562185,3.7968863296483235,Shake people author box mind.,(015)004-7114x4582,"Shannon, Phillips and Perez",South Donna,Female-only,Available,Yes,2539,Included,136,Near metro station,Yes,Unlimited,Monthly,Yes,Security Guard,Yes
Chennai,"Obrien, Byrd and Richards",VIT University,"9969 Kimberly Corners Apt. 407
Shaunburgh, NM 64361",8254,Double,"AC, Laundry, Parking",2.9558901043308867,3.5485780721618077,Tv can minute control.,975.161.0261x434,Marshall Inc,Wilsonburgh,Female-only,Not Available,No,0,Not Included,130,Near metro station,No,50 Mbps,Monthly,Yes,Security Guard,No
Chennai,Bradley-Anderson,Anna University,"776 Martinez Way Suite 251
Santiagochester, AK 48131",5320,Single,"Wi-Fi, AC, Laundry, Kitchen",2.989783744833675,3.767757759422137,Every executive mind box attorney.,001-939-700-0260x2471,Davila Ltd,West Brian,Male-only,Available,Yes,2998,Included,114,Near metro station,No,Unlimited,Monthly,No,CCTV,Yes
Chennai,Evans-Marshall,Anna University,"033 Donna Fork
North Gabriel, KS 62411",14925,Double,"Wi-Fi, Laundry",4.26872078036262,4.663735524410526,Perform concern record upon why still investment.,196-293-4255x2042,"Stafford, Jones and Baird",Phillipsmouth,Co-ed,Available,Yes,2451,Included,188,Near local train,No,50 Mbps,Quarterly,Yes,CCTV,Yes
Erode,Decker-Zuniga,The Gandhigram Rural Institute,"2088 Lindsay Mountain Suite 433
Port Eric, UT 54685",13311,Shared,"Wi-Fi, Laundry",4.368153118372867,4.85800013974702,Wish challenge likely billion popular something.,584-805-7604x8320,Hernandez-Barnes,Port Michael,Male-only,Available,No,0,Included,181,Near local train,Yes,50 Mbps,Quarterly,No,"CCTV, Guard at Night",Yes
Erode,Walker LLC,Erode Arts and Science College,"PSC 8388, Box 0408
APO AP 77019",11143,Shared,"AC, Laundry, Parking",1.932561085930335,4.235010131114148,Particularly to major painting short.,+1-147-938-4007x92491,Harvey Inc,Johnsonhaven,Co-ed,Not Available,No,0,Included,151,Near metro station,Yes,50 Mbps,Monthly,Yes,CCTV,Yes
Salem,Bush-Barrett,Government College of Engineering Salem,"7041 Amanda Passage Suite 653
New Jefferymouth, KS 11284",5691,Shared,"Wi-Fi, AC, Laundry, Kitchen",4.047916331746157,4.389518955305359,Ten matter analysis floor whole.,(369)468-0491x40536,Graham-Lawrence,Pattersonville,Male-only,Not Available,Yes,1695,Not Included,143,Near local train,Yes,100 Mbps,Quarterly,Yes,Security Guard,No
Coimbatore,Hall Inc,PSG College of Technology,"46996 Snyder Ports
Hendersonton, NH 45495",10913,Double,"AC, Laundry, Parking",4.027908119665025,4.864351894648204,Here save within dark.,254.625.8472x315,Rivera and Sons,Murphyview,Female-only,Not Available,Yes,1378,Not Included,152,Near local train,No,Unlimited,Monthly,No,CCTV,No
Tiruchirappalli,"Morton, Gutierrez and Johnson",Anna University Tiruchirappalli,"3351 Copeland Points
Chelseaton, ME 32123",5431,Shared,"Wi-Fi, Laundry",1.902363280702378,4.03738381954093,Season soon end space red.,(701)167-4942,"Phillips, Campbell and Sparks",New Scottfurt,Male-only,Available,No,0,Not Included,125,Near local train,Yes,Unlimited,Quarterly,No,Security Guard,Yes
Erode,Rojas Group,Erode Arts and Science College,"32900 Rebecca Land Apt. 302
Wallacemouth, MI 87326",12848,Double,"Wi-Fi, Laundry",4.031582950742449,4.753218949904585,Discover very scientist.,+1-385-257-1670x0309,"Smith, Gonzalez and Hardy",West Lauren,Female-only,Not Available,No,0,Not Included,162,Near metro station,Yes,50 Mbps,Quarterly,No,"CCTV, Guard at Night",Yes
Coimbatore,Franklin-Martin,Tamil Nadu Agricultural University,"974 Hunter Avenue Suite 754
East Cherylfort, MD 55645",14421,Shared,"Wi-Fi, Laundry",4.240419460956492,4.28451842139822,Adult Mr exist nation impact.,0012695082,Franklin LLC,South Marymouth,Male-only,Not Available,Yes,2929,Not Included,159,5 min walk to bus stop,Yes,100 Mbps,Quarterly,Yes,"CCTV, Guard at Night",Yes
Erode,Brewer-Taylor,Erode Arts and Science College,"18399 Keith Meadow Suite 120
Tommyview, AK 39537",11196,Single,"AC, Laundry, Parking",4.703640912885637,3.73470427569515,Treat speak six candidate middle.,(705)735-4083x34627,"Shah, Bass and Ball",Andrewsfort,Male-only,Available,No,0,Included,119,Near local train,No,50 Mbps,Quarterly,Yes,"CCTV, Guard at Night",Yes
Salem,"Mcguire, Collins and King",Government College of Engineering Salem,"842 Roberta Mountain Apt. 795
Wattsland, MA 02820",14838,Double,"Wi-Fi, AC, Laundry, Kitchen",2.9377927022087693,3.0263857209063927,Him leave environment seek start next base.,1432653504,"Hill, Allen and Stone",Guzmanshire,Female-only,Available,No,0,Not Included,186,Near metro station,No,100 Mbps,Quarterly,No,CCTV,No
Salem,Johnson-Campos,Dr. G.R. Damodaran College of Science,"95710 Matthew Hollow Suite 126
Lake Crystalburgh, CO 39999",8095,Single,"Wi-Fi, Laundry",4.9987250037744175,3.354208244426621,Kind effect throw stay.,+1-580-434-5756x055,Moore and Sons,Thomasshire,Female-only,Not Available,No,0,Included,130,Near metro station,No,100 Mbps,Monthly,No,Security Guard,Yes
Madurai,Joseph-Anderson,VIT Madurai,"705 Carol Mall Suite 505
Meyerberg, WI 00858",5723,Shared,"Wi-Fi, Laundry",4.832216879240467,4.694153735760668,Dream part item feeling adult doctor.,(844)681-2083,Ramirez-Hernandez,North Adamchester,Female-only,Not Available,Yes,1208,Not Included,145,Near local train,No,100 Mbps,Quarterly,No,Security Guard,No
Coimbatore,Munoz-Taylor,Coimbatore Institute of Technology,"063 White Forges
Laurashire, WA 08086",10972,Single,"Wi-Fi, Laundry",1.3687574295322733,3.5330847586952503,Your group bed toward into discussion behind.,(130)764-2412,"Odom, Clark and Soto",Alexandertown,Female-only,Available,Yes,1762,Included,143,Near local train,No,100 Mbps,Monthly,No,CCTV,No
Tiruchirappalli,"Owens, Smith and Baker",National Institute of Technology Tiruchirappalli,"636 Palmer Plain
Gonzalezborough, WV 20230",10883,Double,"Wi-Fi, AC, Laundry, Kitchen",4.570837528876023,4.649317572272753,Sense stop traditional letter.,481-814-7924x01642,"Williams, Love and Robinson",New Charlesview,Female-only,Not Available,Yes,1816,Not Included,164,Near local train,Yes,Unlimited,Monthly,No,"CCTV, Guard at Night",Yes
Salem,Key-Gonzalez,Periyar University,"8766 Watts Crescent Apt. 690
Normanshire, SC 65215",11819,Shared,"Wi-Fi, AC, Laundry, Kitchen",4.534057774992839,4.76884360211452,Fast total floor leave happy deep.,893-156-9762x8103,"Brady, Young and Patel",Lewismouth,Female-only,Available,No,0,Not Included,136,Near metro station,Yes,100 Mbps,Quarterly,Yes,CCTV,No
